period,fiscal_year,fiscal_quarter,fiscal_period,segment,metric_name,metric_value,unit,metric_kind,description
2023-04,2024,Q1,Q1 FY2024,Company,gross_margin_pct,68.4,percent,rate,Gross margin
2023-04,2024,Q1,Q1 FY2024,Company,opex_usd,17220000.0,USD,flow,Operating expenses
2023-04,2024,Q1,Q1 FY2024,Company,ending_customers,410.0,count,stock,Ending customer count
2023-04,2024,Q1,Q1 FY2024,Company,pipeline_usd,210000000.0,USD,stock,Qualified pipeline at period end
2023-04,2024,Q1,Q1 FY2024,Company,win_rate_pct,27.0,percent,rate,Competitive win rate
2023-04,2024,Q1,Q1 FY2024,Company,cac_usd,42000.0,USD,rate,Customer acquisition cost
2023-04,2024,Q1,Q1 FY2024,Company,support_tickets,764.4,count,flow,Opened support tickets
2023-04,2024,Q1,Q1 FY2024,Company,headcount,620.0,count,stock,Ending employee headcount
2023-05,2024,Q2,Q2 FY2024,Company,revenue_usd,20160000.0,USD,flow,Recognized product and subscription revenue
2023-05,2024,Q2,Q2 FY2024,Company,arr_usd,308000000.0,USD,stock,Ending annual recurring revenue
2023-05,2024,Q2,Q2 FY2024,Enterprise,revenue_usd,11894400.0,USD,flow,Recognized product and subscription revenue
2023-05,2024,Q2,Q2 FY2024,Enterprise,arr_usd,181720000.0,USD,stock,Ending annual recurring revenue
2023-05,2024,Q2,Q2 FY2024,Mid-Market,revenue_usd,5443200.0,USD,flow,Recognized product and subscription revenue
2023-05,2024,Q2,Q2 FY2024,Mid-Market,arr_usd,83160000.0,USD,stock,Ending annual recurring revenue
2023-05,2024,Q2,Q2 FY2024,Cloud,revenue_usd,2822400.0,USD,flow,Recognized product and subscription revenue
2023-05,2024,Q2,Q2 FY2024,Cloud,arr_usd,43120000.0,USD,stock,Ending annual recurring revenue
2023-05,2024,Q2,Q2 FY2024,Company,new_logo_acv_usd,5460000.0,USD,flow,Annual contract value from new customers
2023-05,2024,Q2,Q2 FY2024,Company,expansion_acv_usd,2744000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-05,2024,Q2,Q2 FY2024,Company,churned_arr_usd,1232000.0,USD,flow,ARR lost to logo churn and downsell
2023-05,2024,Q2,Q2 FY2024,Company,nrr_pct,115.0,percent,rate,Net revenue retention
2023-05,2024,Q2,Q2 FY2024,Company,gross_margin_pct,68.8,percent,rate,Gross margin
2023-05,2024,Q2,Q2 FY2024,Company,opex_usd,12040000.0,USD,flow,Operating expenses
2023-05,2024,Q2,Q2 FY2024,Company,ending_customers,428.0,count,stock,Ending customer count
2023-05,2024,Q2,Q2 FY2024,Company,pipeline_usd,225000000.0,USD,stock,Qualified pipeline at period end
2023-05,2024,Q2,Q2 FY2024,Company,win_rate_pct,27.5,percent,rate,Competitive win rate
2023-05,2024,Q2,Q2 FY2024,Company,cac_usd,41500.0,USD,rate,Customer acquisition cost
2023-05,2024,Q2,Q2 FY2024,Company,support_tickets,492.8,count,flow,Opened support tickets
2023-05,2024,Q2,Q2 FY2024,Company,headcount,640.0,count,stock,Ending employee headcount
2023-06,2024,Q2,Q2 FY2024,Company,revenue_usd,21600000.0,USD,flow,Recognized product and subscription revenue
2023-06,2024,Q2,Q2 FY2024,Company,arr_usd,308000000.0,USD,stock,Ending annual recurring revenue
2023-06,2024,Q2,Q2 FY2024,Enterprise,revenue_usd,12744000.0,USD,flow,Recognized product and subscription revenue
2023-06,2024,Q2,Q2 FY2024,Enterprise,arr_usd,181720000.0,USD,stock,Ending annual recurring revenue
2023-06,2024,Q2,Q2 FY2024,Mid-Market,revenue_usd,5832000.0,USD,flow,Recognized product and subscription revenue
2023-06,2024,Q2,Q2 FY2024,Mid-Market,arr_usd,83160000.0,USD,stock,Ending annual recurring revenue
2023-06,2024,Q2,Q2 FY2024,Cloud,revenue_usd,3024000.0,USD,flow,Recognized product and subscription revenue
2023-06,2024,Q2,Q2 FY2024,Cloud,arr_usd,43120000.0,USD,stock,Ending annual recurring revenue
2023-06,2024,Q2,Q2 FY2024,Company,new_logo_acv_usd,5850000.0,USD,flow,Annual contract value from new customers
2023-06,2024,Q2,Q2 FY2024,Company,expansion_acv_usd,2940000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-06,2024,Q2,Q2 FY2024,Company,churned_arr_usd,1320000.0,USD,flow,ARR lost to logo churn and downsell
2023-06,2024,Q2,Q2 FY2024,Company,nrr_pct,115.0,percent,rate,Net revenue retention
2023-06,2024,Q2,Q2 FY2024,Company,gross_margin_pct,68.8,percent,rate,Gross margin
2023-06,2024,Q2,Q2 FY2024,Company,opex_usd,12900000.0,USD,flow,Operating expenses
2023-06,2024,Q2,Q2 FY2024,Company,ending_customers,428.0,count,stock,Ending customer count
2023-06,2024,Q2,Q2 FY2024,Company,pipeline_usd,225000000.0,USD,stock,Qualified pipeline at period end
2023-06,2024,Q2,Q2 FY2024,Company,win_rate_pct,27.5,percent,rate,Competitive win rate
2023-06,2024,Q2,Q2 FY2024,Company,cac_usd,41500.0,USD,rate,Customer acquisition cost
2023-06,2024,Q2,Q2 FY2024,Company,support_tickets,528.0,count,flow,Opened support tickets
2023-06,2024,Q2,Q2 FY2024,Company,headcount,640.0,count,stock,Ending employee headcount
2023-07,2024,Q2,Q2 FY2024,Company,revenue_usd,30240000.0,USD,flow,Recognized product and subscription revenue
2023-07,2024,Q2,Q2 FY2024,Company,arr_usd,308000000.0,USD,stock,Ending annual recurring revenue
2023-07,2024,Q2,Q2 FY2024,Enterprise,revenue_usd,17841600.0,USD,flow,Recognized product and subscription revenue
2023-07,2024,Q2,Q2 FY2024,Enterprise,arr_usd,181720000.0,USD,stock,Ending annual recurring revenue
2023-07,2024,Q2,Q2 FY2024,Mid-Market,revenue_usd,8164800.0,USD,flow,Recognized product and subscription revenue
2023-07,2024,Q2,Q2 FY2024,Mid-Market,arr_usd,83160000.0,USD,stock,Ending annual recurring revenue
2023-07,2024,Q2,Q2 FY2024,Cloud,revenue_usd,4233600.0,USD,flow,Recognized product and subscription revenue
2023-07,2024,Q2,Q2 FY2024,Cloud,arr_usd,43120000.0,USD,stock,Ending annual recurring revenue
2023-07,2024,Q2,Q2 FY2024,Company,new_logo_acv_usd,8190000.0,USD,flow,Annual contract value from new customers
2023-07,2024,Q2,Q2 FY2024,Company,expansion_acv_usd,4116000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-07,2024,Q2,Q2 FY2024,Company,churned_arr_usd,1848000.0,USD,flow,ARR lost to logo churn and downsell
2023-07,2024,Q2,Q2 FY2024,Company,nrr_pct,115.0,percent,rate,Net revenue retention
2023-07,2024,Q2,Q2 FY2024,Company,gross_margin_pct,68.8,percent,rate,Gross margin
2023-07,2024,Q2,Q2 FY2024,Company,opex_usd,18060000.0,USD,flow,Operating expenses
2023-07,2024,Q2,Q2 FY2024,Company,ending_customers,428.0,count,stock,Ending customer count
2023-07,2024,Q2,Q2 FY2024,Company,pipeline_usd,225000000.0,USD,stock,Qualified pipeline at period end
2023-07,2024,Q2,Q2 FY2024,Company,win_rate_pct,27.5,percent,rate,Competitive win rate
2023-07,2024,Q2,Q2 FY2024,Company,cac_usd,41500.0,USD,rate,Customer acquisition cost
2023-07,2024,Q2,Q2 FY2024,Company,support_tickets,739.2,count,flow,Opened support tickets
2023-07,2024,Q2,Q2 FY2024,Company,headcount,640.0,count,stock,Ending employee headcount
2023-08,2024,Q3,Q3 FY2024,Company,revenue_usd,21280000.0,USD,flow,Recognized product and subscription revenue
2023-08,2024,Q3,Q3 FY2024,Company,arr_usd,324000000.0,USD,stock,Ending annual recurring revenue
2023-08,2024,Q3,Q3 FY2024,Enterprise,revenue_usd,12342400.0,USD,flow,Recognized product and subscription revenue
2023-08,2024,Q3,Q3 FY2024,Enterprise,arr_usd,187920000.0,USD,stock,Ending annual recurring revenue
2023-08,2024,Q3,Q3 FY2024,Mid-Market,revenue_usd,5745600.0,USD,flow,Recognized product and subscription revenue
2023-08,2024,Q3,Q3 FY2024,Mid-Market,arr_usd,87480000.0,USD,stock,Ending annual recurring revenue
2023-08,2024,Q3,Q3 FY2024,Cloud,revenue_usd,3192000.0,USD,flow,Recognized product and subscription revenue
2023-08,2024,Q3,Q3 FY2024,Cloud,arr_usd,48600000.0,USD,stock,Ending annual recurring revenue
2023-08,2024,Q3,Q3 FY2024,Company,new_logo_acv_usd,5880000.0,USD,flow,Annual contract value from new customers
2023-08,2024,Q3,Q3 FY2024,Company,expansion_acv_usd,2912000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-08,2024,Q3,Q3 FY2024,Company,churned_arr_usd,1288000.0,USD,flow,ARR lost to logo churn and downsell
2023-08,2024,Q3,Q3 FY2024,Company,nrr_pct,116.0,percent,rate,Net revenue retention
2023-08,2024,Q3,Q3 FY2024,Company,gross_margin_pct,69.1,percent,rate,Gross margin
2023-08,2024,Q3,Q3 FY2024,Company,opex_usd,12460000.0,USD,flow,Operating expenses
2023-08,2024,Q3,Q3 FY2024,Company,ending_customers,447.0,count,stock,Ending customer count
2023-08,2024,Q3,Q3 FY2024,Company,pipeline_usd,240000000.0,USD,stock,Qualified pipeline at period end
2023-08,2024,Q3,Q3 FY2024,Company,win_rate_pct,28.0,percent,rate,Competitive win rate
2023-08,2024,Q3,Q3 FY2024,Company,cac_usd,41000.0,USD,rate,Customer acquisition cost
2023-08,2024,Q3,Q3 FY2024,Company,support_tickets,478.8,count,flow,Opened support tickets
2023-08,2024,Q3,Q3 FY2024,Company,headcount,655.0,count,stock,Ending employee headcount
2023-09,2024,Q3,Q3 FY2024,Company,revenue_usd,22800000.0,USD,flow,Recognized product and subscription revenue
2023-09,2024,Q3,Q3 FY2024,Company,arr_usd,324000000.0,USD,stock,Ending annual recurring revenue
2023-09,2024,Q3,Q3 FY2024,Enterprise,revenue_usd,13224000.0,USD,flow,Recognized product and subscription revenue
2023-09,2024,Q3,Q3 FY2024,Enterprise,arr_usd,187920000.0,USD,stock,Ending annual recurring revenue
2023-09,2024,Q3,Q3 FY2024,Mid-Market,revenue_usd,6156000.0,USD,flow,Recognized product and subscription revenue
2023-09,2024,Q3,Q3 FY2024,Mid-Market,arr_usd,87480000.0,USD,stock,Ending annual recurring revenue
2023-09,2024,Q3,Q3 FY2024,Cloud,revenue_usd,3420000.0,USD,flow,Recognized product and subscription revenue
2023-09,2024,Q3,Q3 FY2024,Cloud,arr_usd,48600000.0,USD,stock,Ending annual recurring revenue
2023-09,2024,Q3,Q3 FY2024,Company,new_logo_acv_usd,6300000.0,USD,flow,Annual contract value from new customers
2023-09,2024,Q3,Q3 FY2024,Company,expansion_acv_usd,3120000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-09,2024,Q3,Q3 FY2024,Company,churned_arr_usd,1380000.0,USD,flow,ARR lost to logo churn and downsell
2023-09,2024,Q3,Q3 FY2024,Company,nrr_pct,116.0,percent,rate,Net revenue retention
2023-09,2024,Q3,Q3 FY2024,Company,gross_margin_pct,69.1,percent,rate,Gross margin
2023-09,2024,Q3,Q3 FY2024,Company,opex_usd,13350000.0,USD,flow,Operating expenses
2023-09,2024,Q3,Q3 FY2024,Company,ending_customers,447.0,count,stock,Ending customer count
2023-09,2024,Q3,Q3 FY2024,Company,pipeline_usd,240000000.0,USD,stock,Qualified pipeline at period end
2023-09,2024,Q3,Q3 FY2024,Company,win_rate_pct,28.0,percent,rate,Competitive win rate
2023-09,2024,Q3,Q3 FY2024,Company,cac_usd,41000.0,USD,rate,Customer acquisition cost
2023-09,2024,Q3,Q3 FY2024,Company,support_tickets,513.0,count,flow,Opened support tickets
2023-09,2024,Q3,Q3 FY2024,Company,headcount,655.0,count,stock,Ending employee headcount
2023-10,2024,Q3,Q3 FY2024,Company,revenue_usd,31920000.0,USD,flow,Recognized product and subscription revenue
2023-10,2024,Q3,Q3 FY2024,Company,arr_usd,324000000.0,USD,stock,Ending annual recurring revenue
2023-10,2024,Q3,Q3 FY2024,Enterprise,revenue_usd,18513600.0,USD,flow,Recognized product and subscription revenue
2023-10,2024,Q3,Q3 FY2024,Enterprise,arr_usd,187920000.0,USD,stock,Ending annual recurring revenue
2023-10,2024,Q3,Q3 FY2024,Mid-Market,revenue_usd,8618400.0,USD,flow,Recognized product and subscription revenue
2023-10,2024,Q3,Q3 FY2024,Mid-Market,arr_usd,87480000.0,USD,stock,Ending annual recurring revenue
2023-10,2024,Q3,Q3 FY2024,Cloud,revenue_usd,4788000.0,USD,flow,Recognized product and subscription revenue
2023-10,2024,Q3,Q3 FY2024,Cloud,arr_usd,48600000.0,USD,stock,Ending annual recurring revenue
2023-10,2024,Q3,Q3 FY2024,Company,new_logo_acv_usd,8820000.0,USD,flow,Annual contract value from new customers
2023-10,2024,Q3,Q3 FY2024,Company,expansion_acv_usd,4368000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-10,2024,Q3,Q3 FY2024,Company,churned_arr_usd,1932000.0,USD,flow,ARR lost to logo churn and downsell
2023-10,2024,Q3,Q3 FY2024,Company,nrr_pct,116.0,percent,rate,Net revenue retention
2023-10,2024,Q3,Q3 FY2024,Company,gross_margin_pct,69.1,percent,rate,Gross margin
2023-10,2024,Q3,Q3 FY2024,Company,opex_usd,18690000.0,USD,flow,Operating expenses
2023-10,2024,Q3,Q3 FY2024,Company,ending_customers,447.0,count,stock,Ending customer count
2023-10,2024,Q3,Q3 FY2024,Company,pipeline_usd,240000000.0,USD,stock,Qualified pipeline at period end
2023-10,2024,Q3,Q3 FY2024,Company,win_rate_pct,28.0,percent,rate,Competitive win rate
2023-10,2024,Q3,Q3 FY2024,Company,cac_usd,41000.0,USD,rate,Customer acquisition cost
2023-10,2024,Q3,Q3 FY2024,Company,support_tickets,718.2,count,flow,Opened support tickets
2023-10,2024,Q3,Q3 FY2024,Company,headcount,655.0,count,stock,Ending employee headcount
2023-11,2024,Q4,Q4 FY2024,Company,revenue_usd,23520000.0,USD,flow,Recognized product and subscription revenue
2023-11,2024,Q4,Q4 FY2024,Company,arr_usd,346000000.0,USD,stock,Ending annual recurring revenue
2023-11,2024,Q4,Q4 FY2024,Enterprise,revenue_usd,13406400.0,USD,flow,Recognized product and subscription revenue
2023-11,2024,Q4,Q4 FY2024,Enterprise,arr_usd,197220000.0,USD,stock,Ending annual recurring revenue
2023-11,2024,Q4,Q4 FY2024,Mid-Market,revenue_usd,6350400.0,USD,flow,Recognized product and subscription revenue
2023-11,2024,Q4,Q4 FY2024,Mid-Market,arr_usd,93420000.0,USD,stock,Ending annual recurring revenue
2023-11,2024,Q4,Q4 FY2024,Cloud,revenue_usd,3763200.0,USD,flow,Recognized product and subscription revenue
2023-11,2024,Q4,Q4 FY2024,Cloud,arr_usd,55360000.0,USD,stock,Ending annual recurring revenue
2023-11,2024,Q4,Q4 FY2024,Company,new_logo_acv_usd,6720000.0,USD,flow,Annual contract value from new customers
2023-11,2024,Q4,Q4 FY2024,Company,expansion_acv_usd,3416000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-11,2024,Q4,Q4 FY2024,Company,churned_arr_usd,1400000.0,USD,flow,ARR lost to logo churn and downsell
2023-11,2024,Q4,Q4 FY2024,Company,nrr_pct,117.0,percent,rate,Net revenue retention
2023-11,2024,Q4,Q4 FY2024,Company,gross_margin_pct,69.5,percent,rate,Gross margin
2023-11,2024,Q4,Q4 FY2024,Company,opex_usd,13160000.0,USD,flow,Operating expenses
2023-11,2024,Q4,Q4 FY2024,Company,ending_customers,469.0,count,stock,Ending customer count
2023-11,2024,Q4,Q4 FY2024,Company,pipeline_usd,268000000.0,USD,stock,Qualified pipeline at period end
2023-11,2024,Q4,Q4 FY2024,Company,win_rate_pct,29.0,percent,rate,Competitive win rate
2023-11,2024,Q4,Q4 FY2024,Company,cac_usd,40000.0,USD,rate,Customer acquisition cost
2023-11,2024,Q4,Q4 FY2024,Company,support_tickets,473.2,count,flow,Opened support tickets
2023-11,2024,Q4,Q4 FY2024,Company,headcount,680.0,count,stock,Ending employee headcount
2023-12,2024,Q4,Q4 FY2024,Company,revenue_usd,25200000.0,USD,flow,Recognized product and subscription revenue
2023-12,2024,Q4,Q4 FY2024,Company,arr_usd,346000000.0,USD,stock,Ending annual recurring revenue
2023-12,2024,Q4,Q4 FY2024,Enterprise,revenue_usd,14364000.0,USD,flow,Recognized product and subscription revenue
2023-12,2024,Q4,Q4 FY2024,Enterprise,arr_usd,197220000.0,USD,stock,Ending annual recurring revenue
2023-12,2024,Q4,Q4 FY2024,Mid-Market,revenue_usd,6804000.0,USD,flow,Recognized product and subscription revenue
2023-12,2024,Q4,Q4 FY2024,Mid-Market,arr_usd,93420000.0,USD,stock,Ending annual recurring revenue
2023-12,2024,Q4,Q4 FY2024,Cloud,revenue_usd,4032000.0,USD,flow,Recognized product and subscription revenue
2023-12,2024,Q4,Q4 FY2024,Cloud,arr_usd,55360000.0,USD,stock,Ending annual recurring revenue
2023-12,2024,Q4,Q4 FY2024,Company,new_logo_acv_usd,7200000.0,USD,flow,Annual contract value from new customers
2023-12,2024,Q4,Q4 FY2024,Company,expansion_acv_usd,3660000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-12,2024,Q4,Q4 FY2024,Company,churned_arr_usd,1500000.0,USD,flow,ARR lost to logo churn and downsell
2023-12,2024,Q4,Q4 FY2024,Company,nrr_pct,117.0,percent,rate,Net revenue retention
2023-12,2024,Q4,Q4 FY2024,Company,gross_margin_pct,69.5,percent,rate,Gross margin
2023-12,2024,Q4,Q4 FY2024,Company,opex_usd,14100000.0,USD,flow,Operating expenses
2023-12,2024,Q4,Q4 FY2024,Company,ending_customers,469.0,count,stock,Ending customer count
2023-12,2024,Q4,Q4 FY2024,Company,pipeline_usd,268000000.0,USD,stock,Qualified pipeline at period end
2023-12,2024,Q4,Q4 FY2024,Company,win_rate_pct,29.0,percent,rate,Competitive win rate
2023-12,2024,Q4,Q4 FY2024,Company,cac_usd,40000.0,USD,rate,Customer acquisition cost
2023-12,2024,Q4,Q4 FY2024,Company,support_tickets,507.0,count,flow,Opened support tickets
2023-12,2024,Q4,Q4 FY2024,Company,headcount,680.0,count,stock,Ending employee headcount
2024-01,2024,Q4,Q4 FY2024,Company,revenue_usd,35280000.0,USD,flow,Recognized product and subscription revenue
2024-01,2024,Q4,Q4 FY2024,Company,arr_usd,346000000.0,USD,stock,Ending annual recurring revenue
2024-01,2024,Q4,Q4 FY2024,Enterprise,revenue_usd,20109600.0,USD,flow,Recognized product and subscription revenue
2024-01,2024,Q4,Q4 FY2024,Enterprise,arr_usd,197220000.0,USD,stock,Ending annual recurring revenue
2024-01,2024,Q4,Q4 FY2024,Mid-Market,revenue_usd,9525600.0,USD,flow,Recognized product and subscription revenue
2024-01,2024,Q4,Q4 FY2024,Mid-Market,arr_usd,93420000.0,USD,stock,Ending annual recurring revenue
2024-01,2024,Q4,Q4 FY2024,Cloud,revenue_usd,5644800.0,USD,flow,Recognized product and subscription revenue
2024-01,2024,Q4,Q4 FY2024,Cloud,arr_usd,55360000.0,USD,stock,Ending annual recurring revenue
2024-01,2024,Q4,Q4 FY2024,Company,new_logo_acv_usd,10080000.0,USD,flow,Annual contract value from new customers
2024-01,2024,Q4,Q4 FY2024,Company,expansion_acv_usd,5124000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2024-01,2024,Q4,Q4 FY2024,Company,churned_arr_usd,2100000.0,USD,flow,ARR lost to logo churn and downsell
2024-01,2024,Q4,Q4 FY2024,Company,nrr_pct,117.0,percent,rate,Net revenue retention
2024-01,2024,Q4,Q4 FY2024,Company,gross_margin_pct,69.5,percent,rate,Gross margin
2024-01,2024,Q4,Q4 FY2024,Company,opex_usd,19740000.0,USD,flow,Operating expenses
2024-01,2024,Q4,Q4 FY2024,Company,ending_customers,469.0,count,stock,Ending customer count
2024-01,2024,Q4,Q4 FY2024,Company,pipeline_usd,268000000.0,USD,stock,Qualified pipeline at period end
2024-01,2024,Q4,Q4 FY2024,Company,win_rate_pct,29.0,percent,rate,Competitive win rate
2024-01,2024,Q4,Q4 FY2024,Company,cac_usd,40000.0,USD,rate,Customer acquisition cost
2024-01,2024,Q4,Q4 FY2024,Company,support_tickets,709.8,count,flow,Opened support tickets
2024-01,2024,Q4,Q4 FY2024,Company,headcount,680.0,count,stock,Ending employee headcount
2024-02,2025,Q1,Q1 FY2025,Company,revenue_usd,24640000.0,USD,flow,Recognized product and subscription revenue
2024-02,2025,Q1,Q1 FY2025,Company,arr_usd,368000000.0,USD,stock,Ending annual recurring revenue
2024-02,2025,Q1,Q1 FY2025,Enterprise,revenue_usd,13798400.0,USD,flow,Recognized product and subscription revenue
2024-02,2025,Q1,Q1 FY2025,Enterprise,arr_usd,206080000.0,USD,stock,Ending annual recurring revenue
2024-02,2025,Q1,Q1 FY2025,Mid-Market,revenue_usd,6652800.0,USD,flow,Recognized product and subscription revenue
2024-02,2025,Q1,Q1 FY2025,Mid-Market,arr_usd,99360000.0,USD,stock,Ending annual recurring revenue
2024-02,2025,Q1,Q1 FY2025,Cloud,revenue_usd,4188800.0,USD,flow,Recognized product and subscription revenue
2024-02,2025,Q1,Q1 FY2025,Cloud,arr_usd,62560000.0,USD,stock,Ending annual recurring revenue
2024-02,2025,Q1,Q1 FY2025,Company,new_logo_acv_usd,7280000.0,USD,flow,Annual contract value from new customers
2024-02,2025,Q1,Q1 FY2025,Company,expansion_acv_usd,3780000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2024-02,2025,Q1,Q1 FY2025,Company,churned_arr_usd,1456000.0,USD,flow,ARR lost to logo churn and downsell
2024-02,2025,Q1,Q1 FY2025,Company,nrr_pct,118.0,percent,rate,Net revenue retention
2024-02,2025,Q1,Q1 FY2025,Company,gross_margin_pct,69.8,percent,rate,Gross margin
2024-02,2025,Q1,Q1 FY2025,Company,opex_usd,13720000.0,USD,flow,Operating expenses
2024-02,2025,Q1,Q1 FY2025,Company,ending_customers,492.0,count,stock,Ending customer count
2024-02,2025,Q1,Q1 FY2025,Company,pipeline_usd,280000000.0,USD,stock,Qualified pipeline at period end
